objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img20210208_15033602.jpg,,,Wedding Picture 1,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll002,img20210208_15033612.jpg,,,Wedding Picture 2,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll003,img20210208_15033623.jpg,,,Wedding Picture 3,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll004,img20210208_15033630.jpg,,,Wedding Picture 4,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll005,img20210208_15084396.jpg,,,Wedding Picture 5,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll006,img20210208_15084543.jpg,,,Wedding Picture 6,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll007,img20210208_15085667.jpg,,,Wedding Picture 7,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll008,img20210208_15085973.jpg,,,Wedding Picture 8,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll009,img20210208_15145340.jpg,,,Wedding Picture 9,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll010,img20210208_15145362.jpg,,,Wedding Picture 10,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
